0.001982027,0
0.804714221,0
1.603085573,0
2.399465476,0
3.186894960,0
3.984008782,0
4.783590283,0
5.583052099,0
6.379217912,0
7.176681019,0
7.967241111,0
8.758911046,0
9.558267252,0
10.355799274,0
11.146146558,0
11.940997218,0
12.727665565,0
13.523510768,0
14.318544647,0
15.111788231,0
15.910276586,0
16.707994699,0
17.503375730,0
18.306785285,0
19.103245533,0
19.905604031,0
20.703652293,0
21.501364093,0
22.299020932,0
23.094661544,0
23.894417637,0
24.694229149,0
25.491564263,0
26.290172961,0
27.083693325,0
27.875304545,0
28.671112308,0
29.465384542,0
30.263734680,0
31.059228885,0
31.846843653,0
32.638093187,0
33.432041103,0
34.230032425,0
35.028767940,0
35.823073207,0
36.624391107,0
37.422502300,0
38.217894946,0
39.011317122,0
39.810939121,0
40.607443280,0
41.402403222,0
42.194101884,0
42.990980883,0
43.789770667,0
44.585369502,0
45.382814170,0
46.178296310,0
46.975583795,521
47.771205112,521
48.565069466,943
49.362021399,943
50.158745522,943
50.954205867,4812.8
51.751588420,4812.8
52.549785858,6451.2
53.349356565,6451.2
54.150100497,6451.2
54.942962500,1945.6
55.743317744,1945.6
56.542712938,1945.6
57.338328143,1945.6
58.136769700,1945.6
58.931670459,1228.8
59.729459747,1228.8
60.532761491,427
61.323048077,427
62.116594727,427
62.908109288,4608.0
63.704730968,4608.0
64.504088005,4608.0
65.303579819,6041.6
66.102108876,6041.6
66.903808003,4096.0
67.703613908,4096.0
68.505395077,4096.0
69.304871405,2560.0
70.102047096,2560.0
70.902141332,5017.6
71.699566351,5017.6
72.502319555,5017.6
73.299939612,5632.0
74.098168110,5632.0
74.899329319,5632.0
75.702071043,3993.6
76.500875396,3993.6
77.296583854,5222.4
78.092562460,5222.4
78.894968168,5222.4
79.690775736,3891.2
80.487382104,3891.2
81.290552394,0
82.089850544,0
82.889009126,0
83.706154007,0
84.499320423,0
85.298740410,1638.4
86.093848023,1638.4
86.890741329,1638.4
87.689588719,0
88.487688928,0
89.283538304,0
90.082716843,0
90.878777611,0
91.675909697,0
92.475576400,0
93.276834567,0
94.075333575,0
94.872260827,0
95.668403334,6451.2
96.469872112,6451.2
97.262563895,5632.0
98.062000238,5632.0
98.865349511,5632.0
99.670150022,2662.4
100.471417246,1024.0
101.272391288,1024.0
102.073254073,1024.0
102.872234042,3788.8
103.668187913,3788.8
104.467184071,3788.8
105.264956474,5529.6
106.060215371,5529.6
106.858793130,3276.8
107.653610969,3276.8
108.448674108,3276.8
109.250346752,1331.2
110.045106765,1331.2
110.840981528,1331.2
111.640362125,0
112.435547178,0
113.230780536,0
114.020329713,0
114.814461669,0
115.610631296,0
116.411203831,0
117.208779465,0
118.007227948,0
118.803787739,0
119.598595152,0
120.390583059,0
121.187257210,5734.4
121.982612883,5734.4
122.777797325,6553.6
123.574937311,6553.6
124.370049633,6553.6
125.168890554,6553.6
125.964542497,1843.2
126.759857002,1843.2
127.560030151,1126.4
128.361007960,1126.4
129.161647901,1126.4
129.961150467,4096.0
130.757275287,2150.4
131.555280358,2150.4
132.356599981,2150.4
133.146805688,4403.2
133.946028309,4403.2
134.741906095,5017.6
135.540564731,5017.6
136.341880132,5017.6
137.134385538,0
137.926984675,0
138.721888797,0
139.514575284,0
140.311563880,0
141.106978916,0
141.918496017,0
142.719206071,0
143.510547590,0
144.305035589,0
145.104521543,0
145.904490630,0
146.703737717,0
147.504123304,0
148.300594839,0
149.102702714,0
149.897031953,0
150.695140408,0
151.488543300,0
152.285407455,0
153.081084650,1331.2
153.878234811,1331.2
154.673556193,6758.4
155.474216255,6758.4
156.267078069,6758.4
157.068643789,6758.4
157.870789311,5427.2
158.672557770,5427.2
159.467832770,770
160.267096493,770
161.068432593,172
161.869191260,172
162.668629502,172
163.460231007,3379.2
164.262950046,3379.2
165.066931481,4403.2
165.867754012,4403.2
166.670211684,4403.2
167.475433268,3686.4
168.282873496,3686.4
169.089946155,708
169.892060302,708
170.688482729,708
171.492629750,0
172.292496197,0
173.090492128,0
173.896461539,0
174.697331598,0
175.503935784,0
176.311336097,0
177.112789698,0
