221," 0"," 1"," 0"," 0"
470," 1359523"," 1"," 0"," 0"
720," 2080768"," 1"," 0"," 0"
970," 1605632"," 1"," 0"," 0"
1220," 966656"," 1"," 0"," 0"
1470," 1556480"," 1"," 0"," 0"
1720," 3178496"," 1"," 0"," 0"
1970," 2818048"," 1"," 0"," 0"
2220," 2352321"," 1"," 0"," 0"
2470," 2408448"," 1"," 0"," 0"
2720," 2883584"," 1"," 0"," 0"
2970," 2686976"," 1"," 0"," 0"
3220," 2932736"," 1"," 0"," 0"
3470," 3211264"," 1"," 0"," 0"
3720," 3096576"," 1"," 0"," 0"
3970," 2998272"," 1"," 0"," 0"
4220," 2829365"," 1"," 0"," 0"
4470," 2686976"," 1"," 0"," 0"
4720," 3325952"," 1"," 0"," 0"
4970," 3162112"," 1"," 0"," 0"
5220," 1490944"," 1"," 0"," 0"
5470," 2703360"," 1"," 0"," 0"
5720," 3276800"," 1"," 0"," 0"
5970," 3489792"," 1"," 0"," 0"
6220," 2752512"," 1"," 0"," 0"
6469," 3240610"," 1"," 0"," 0"
6720," 2572288"," 1"," 0"," 0"
6970," 3260416"," 1"," 0"," 0"
7220," 2768896"," 1"," 0"," 0"
7470," 2555904"," 1"," 0"," 0"
7720," 2457600"," 1"," 0"," 0"
7970," 2637824"," 1"," 0"," 0"
8221," 3276800"," 1"," 0"," 0"
8470," 2812915"," 1"," 0"," 0"
8720," 3424256"," 1"," 0"," 0"
8970," 2899968"," 1"," 0"," 0"
9220," 3424256"," 1"," 0"," 0"
9470," 3339309"," 1"," 0"," 0"
9720," 3129344"," 1"," 0"," 0"
9970," 2834432"," 1"," 0"," 0"
10220," 3063808"," 1"," 0"," 0"
10470," 3227648"," 1"," 0"," 0"
10720," 3421558"," 1"," 0"," 0"
10970," 1458176"," 1"," 0"," 0"
11220," 2998272"," 1"," 0"," 0"
11470," 3031040"," 1"," 0"," 0"
11720," 3522560"," 1"," 0"," 0"
11970," 2977413"," 1"," 0"," 0"
12220," 2719744"," 1"," 0"," 0"
12470," 3162112"," 1"," 0"," 0"
12720," 3309568"," 1"," 0"," 0"
12970," 2064384"," 1"," 0"," 0"
13220," 1233734"," 1"," 0"," 0"
13470," 1949696"," 1"," 0"," 0"
13720," 2457600"," 1"," 0"," 0"
13970," 2883584"," 1"," 0"," 0"
14221," 2670592"," 1"," 0"," 0"
14470," 2796465"," 1"," 0"," 0"
14720," 2998272"," 1"," 0"," 0"
14970," 3342336"," 1"," 0"," 0"
15221," 2867200"," 1"," 0"," 0"
15470," 2829365"," 1"," 0"," 0"
15720," 2899968"," 1"," 0"," 0"
15970," 2965504"," 1"," 0"," 0"
16220," 3031040"," 1"," 0"," 0"
16471," 2670592"," 1"," 0"," 0"
16720," 2878714"," 1"," 0"," 0"
16970," 2916352"," 1"," 0"," 0"
17220," 3129344"," 1"," 0"," 0"
17471," 2949120"," 1"," 0"," 0"
17720," 2319421"," 1"," 0"," 0"
17970," 2686976"," 1"," 0"," 0"
18220," 3604480"," 1"," 0"," 0"
18471," 2490368"," 1"," 0"," 0"
18721," 3293184"," 1"," 0"," 0"
18970," 2895164"," 1"," 0"," 0"
19220," 2949120"," 1"," 0"," 0"
19470," 3571712"," 1"," 0"," 0"
