215, 0, 1, 0, 0
464, 1041655, 1, 0, 0
714, 1720320, 1, 0, 0
965, 688128, 1, 0, 0
1214, 1891726, 1, 0, 0
1464, 2097152, 1, 0, 0
1714, 1900544, 1, 0, 0
1965, 1802240, 1, 0, 0
2214, 1990425, 1, 0, 0
2464, 2310144, 1, 0, 0
2714, 933888, 1, 0, 0
2965, 1835008, 1, 0, 0
3214, 1973975, 1, 0, 0
3464, 2064384, 1, 0, 0
3715, 2162688, 1, 0, 0
3964, 2319421, 1, 0, 0
4214, 2064384, 1, 0, 0
4464, 2326528, 1, 0, 0
4715, 2048000, 1, 0, 0
4964, 1858827, 1, 0, 0
5214, 2260992, 1, 0, 0
5464, 2162688, 1, 0, 0
5714, 2146304, 1, 0, 0
5965, 2310144, 1, 0, 0
6214, 1973975, 1, 0, 0
6464, 1785856, 1, 0, 0
6714, 1769472, 1, 0, 0
6965, 933888, 1, 0, 0
7215, 2015232, 1, 0, 0
7464, 2253622, 1, 0, 0
7714, 1998848, 1, 0, 0
7964, 2162688, 1, 0, 0
8215, 2244608, 1, 0, 0
8464, 2072674, 1, 0, 0
8714, 1638400, 1, 0, 0
8964, 2113536, 1, 0, 0
9215, 2015232, 1, 0, 0
9464, 2368771, 1, 0, 0
9714, 2179072, 1, 0, 0
9964, 2113536, 1, 0, 0
10214, 2244608, 1, 0, 0
10465, 2277376, 1, 0, 0
10714, 2237172, 1, 0, 0
10964, 2195456, 1, 0, 0
11214, 2211840, 1, 0, 0
11464, 2015232, 1, 0, 0
11715, 1949696, 1, 0, 0
11964, 2483919, 1, 0, 0
12214, 2080768, 1, 0, 0
12464, 2244608, 1, 0, 0
12714, 1900544, 1, 0, 0
12965, 2015232, 1, 0, 0
13214, 2039775, 1, 0, 0
13464, 1736704, 1, 0, 0
13714, 2293760, 1, 0, 0
13964, 2162688, 1, 0, 0
14215, 2179072, 1, 0, 0
14464, 2418120, 1, 0, 0
14714, 2129920, 1, 0, 0
14964, 442368, 1, 0, 0
15215, 1982464, 1, 0, 0
15464, 2122024, 1, 0, 0
15714, 2277376, 1, 0, 0
15964, 2310144, 1, 0, 0
16214, 2211840, 1, 0, 0
16465, 2244608, 1, 0, 0
16714, 2056224, 1, 0, 0
16964, 2228224, 1, 0, 0
17214, 2064384, 1, 0, 0
17464, 2244608, 1, 0, 0
17714, 2473984, 1, 0, 0
17965, 1998848, 1, 0, 0
18214, 1727228, 1, 0, 0
18464, 2424832, 1, 0, 0
18714, 2342912, 1, 0, 0
18964, 2228224, 1, 0, 0
19215, 2129920, 1, 0, 0
19464, 2056224, 1, 0, 0
19714, 2441216, 1, 0, 0
19964, 2457600, 1, 0, 0
20214, 2162688, 1, 0, 0
20464, 2506752, 1, 0, 0
20715, 2179072, 1, 0, 0
20964, 2039775, 1, 0, 0
21214, 2326528, 1, 0, 0
21464, 2310144, 1, 0, 0
21714, 2441216, 1, 0, 0
21965, 2605056, 1, 0, 0
22214, 1941076, 1, 0, 0
22464, 1933312, 1, 0, 0
22714, 2342912, 1, 0, 0
22965, 2375680, 1, 0, 0
23214, 2599068, 1, 0, 0
23464, 2326528, 1, 0, 0
23714, 2310144, 1, 0, 0
23964, 2277376, 1, 0, 0
24215, 2473984, 1, 0, 0
24464, 1891726, 1, 0, 0
24714, 2064384, 1, 0, 0
24964, 1736704, 1, 0, 0
25214, 1933312, 1, 0, 0
25464, 2375680, 1, 0, 0
25715, 2015232, 1, 0, 0
25964, 2302971, 1, 0, 0
26214, 2211840, 1, 0, 0
26464, 1818624, 1, 0, 0
26714, 1949696, 1, 0, 0
26965, 2097152, 1, 0, 0
27214, 2418120, 1, 0, 0
27464, 2211840, 1, 0, 0
27714, 1949696, 1, 0, 0
27965, 2031616, 1, 0, 0
28214, 2286522, 1, 0, 0
